ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price
2060,,Хлеб симит Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2060,https://baron.kz/image/cache/catalog/catalog/hleb/hleb-simit-baron-600x400.jpg,,,,220.00 KZT,
2062,,Хлеб хала с маком Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2062,https://baron.kz/image/cache/catalog/catalog/hleb/hleb-hala-s-makom-baron-600x400.jpg,,,,365.00 KZT,
2061,,Хлеб Ромашка Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2061,https://baron.kz/image/cache/catalog/catalog/hleb/hleb-romashka-baron-600x400.jpg,,,,235.00 KZT,
2055,,Батон молочный Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2055,https://baron.kz/image/cache/catalog/catalog/hleb/baton-molochnyj-baron1-600x400.jpg,,,,285.00 KZT,
2053,,Хлеб Бородинский Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2053,https://baron.kz/image/cache/catalog/catalog/hleb/hleb-borodinskij-baron1-600x400.jpg,,,,190.00 KZT,
2052,,Хлеб формовой Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2052,https://baron.kz/image/cache/catalog/catalog/hleb/hleb-formovoj-baron1-600x400.jpg,,,,180.00 KZT,
2054,,Хлеб пшенично-ржаной подовый Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2054,https://baron.kz/image/cache/catalog/catalog/hleb/hleb-pshenichno-rzhanoj-podovyj-baron1-600x400.jpg,,,,190.00 KZT,
2057,,Багет французский Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2057,https://baron.kz/image/cache/catalog/catalog/hleb/baget-francuzskij-baron1-600x400.jpg,,,,135.00 KZT,
2059,,Багет с добавлением кукурузной муки Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2059,https://baron.kz/image/cache/catalog/catalog/hleb/baget-s-dobavleniem-kukuruznoj-muki-baron-600x400.jpg,,,,190.00 KZT,
2058,,Батон с добавлением кукурузной муки Baron,https://baron.kz/index.php?route=product/product&path=284&product_id=2058,https://baron.kz/image/cache/catalog/catalog/hleb/baton-s-dobavleniem-kukuruznoj-muki-baron-600x400.jpg,,,,280.00 KZT,
806,,"Фарш из свинины зам., 0.5 кг",https://baron.kz/zamorozhennye-produkty/farsh/farsh-iz-svininy-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat/pork/new/farsh-svinina-pol-kg-n2-600x400.jpg,,,,1335.00 KZT,
